cole_cod_dane_establecimiento,cole_nombre_establecimiento,cole_naturaleza,cole_mcpio_ubicacion,anio,n_estudiantes,prom_global,prom_matematicas,prom_lectura_critica,prom_c_naturales,prom_sociales,prom_ingles,percentil_prom_global
113001000143,INSTITUCION EDUCATIVA ARROYO DE PIEDRA,OFICIAL,CARTAGENA DE INDIAS,2021,70,188.4,36.7,41.8,38.1,34.0,38.0,16.3
113001000143,INSTITUCION EDUCATIVA ARROYO DE PIEDRA,OFICIAL,CARTAGENA DE INDIAS,2022,73,190.7,36.8,40.2,39.4,35.8,39.1,16.6
113001000143,INSTITUCION EDUCATIVA ARROYO DE PIEDRA,OFICIAL,CARTAGENA DE INDIAS,2023,50,194.6,37.4,40.9,39.6,37.1,40.7,17.1
113001000143,INSTITUCION EDUCATIVA ARROYO DE PIEDRA,OFICIAL,CARTAGENA DE INDIAS,2024,71,191.4,36.7,41.6,39.2,35.6,38.4,15.1
113001000143,INSTITUCION EDUCATIVA ARROYO DE PIEDRA,OFICIAL,CARTAGENA DE INDIAS,2025,76,194.1,37.0,42.5,39.8,35.8,38.9,16.2
113001000160,INSTITUCION EDUCATIVA CORAZON DE MARIA,OFICIAL,CARTAGENA DE INDIAS,2021,56,182.4,34.9,40.1,37.3,33.3,37.4,12.9
113001000160,INSTITUCION EDUCATIVA CORAZON DE MARIA,OFICIAL,CARTAGENA DE INDIAS,2022,64,197.2,38.0,42.8,39.6,37.0,40.2,19.5
113001000160,INSTITUCION EDUCATIVA CORAZON DE MARIA,OFICIAL,CARTAGENA DE INDIAS,2023,82,206.7,41.5,44.3,41.5,37.4,43.1,22.4
113001000160,INSTITUCION EDUCATIVA CORAZON DE MARIA,OFICIAL,CARTAGENA DE INDIAS,2024,81,204.0,39.5,44.6,41.8,37.3,41.2,21.2
113001000160,INSTITUCION EDUCATIVA CORAZON DE MARIA,OFICIAL,CARTAGENA DE INDIAS,2025,77,200.7,40.9,43.1,40.3,35.1,43.7,18.7
113001000241,INSTITUCION EDUCATIVA NUESTRO ESFUERZO,OFICIAL,CARTAGENA DE INDIAS,2021,105,221.8,44.8,47.6,44.1,41.5,42.6,35.5
113001000241,INSTITUCION EDUCATIVA NUESTRO ESFUERZO,OFICIAL,CARTAGENA DE INDIAS,2022,114,233.8,47.1,49.9,46.2,44.4,44.9,41.1
113001000241,INSTITUCION EDUCATIVA NUESTRO ESFUERZO,OFICIAL,CARTAGENA DE INDIAS,2023,119,228.3,46.5,48.7,45.2,42.8,43.9,35.1
113001000241,INSTITUCION EDUCATIVA NUESTRO ESFUERZO,OFICIAL,CARTAGENA DE INDIAS,2024,82,230.2,45.9,49.0,45.9,44.1,43.7,35.3
113001000241,INSTITUCION EDUCATIVA NUESTRO ESFUERZO,OFICIAL,CARTAGENA DE INDIAS,2025,129,233.7,46.7,48.7,49.1,42.9,45.4,37.0
113001000259,INSTITUCIÓN EDUCATIVA VALORES UNIDOS,OFICIAL,CARTAGENA DE INDIAS,2021,79,205.9,40.3,45.8,40.3,38.9,39.2,26.2
113001000259,INSTITUCIÓN EDUCATIVA VALORES UNIDOS,OFICIAL,CARTAGENA DE INDIAS,2022,88,209.5,40.4,45.9,42.3,39.3,41.1,26.6
113001000259,INSTITUCIÓN EDUCATIVA VALORES UNIDOS,OFICIAL,CARTAGENA DE INDIAS,2023,90,217.6,41.9,47.1,43.1,42.1,43.3,29.1
113001000259,INSTITUCIÓN EDUCATIVA VALORES UNIDOS,OFICIAL,CARTAGENA DE INDIAS,2024,121,212.4,40.5,46.1,42.7,40.7,42.3,26.6
113001000259,INSTITUCIÓN EDUCATIVA VALORES UNIDOS,OFICIAL,CARTAGENA DE INDIAS,2025,126,212.9,41.2,46.5,42.9,39.8,42.6,24.8
113001000321,INSTITUCION EDUCATIVA LUIS C GALAN SARMIENTO,OFICIAL,CARTAGENA DE INDIAS,2021,104,210.2,41.3,46.5,40.9,39.8,41.1,28.5
113001000321,INSTITUCION EDUCATIVA LUIS C GALAN SARMIENTO,OFICIAL,CARTAGENA DE INDIAS,2022,119,221.2,44.1,47.3,43.9,42.3,42.0,33.7
113001000321,INSTITUCION EDUCATIVA LUIS C GALAN SARMIENTO,OFICIAL,CARTAGENA DE INDIAS,2023,110,218.2,43.7,46.5,43.7,40.8,43.4,28.6
113001000321,INSTITUCION EDUCATIVA LUIS C GALAN SARMIENTO,OFICIAL,CARTAGENA DE INDIAS,2024,126,220.6,43.7,47.9,44.1,41.0,43.5,29.6
113001000321,INSTITUCION EDUCATIVA LUIS C GALAN SARMIENTO,OFICIAL,CARTAGENA DE INDIAS,2025,107,228.6,46.7,49.8,45.1,41.6,44.7,33.4
113001000348,INSTITUCION EDUCATIVA AMBIENTALISTA DE CARTAGENA,OFICIAL,CARTAGENA DE INDIAS,2021,303,213.5,42.0,46.9,41.9,40.3,41.5,31.1
113001000348,INSTITUCION EDUCATIVA AMBIENTALISTA DE CARTAGENA,OFICIAL,CARTAGENA DE INDIAS,2022,220,235.3,46.2,49.9,47.0,45.6,45.7,41.7
113001000348,INSTITUCION EDUCATIVA AMBIENTALISTA DE CARTAGENA,OFICIAL,CARTAGENA DE INDIAS,2023,232,235.5,46.5,50.0,47.3,44.9,46.6,39.4
113001000348,INSTITUCION EDUCATIVA AMBIENTALISTA DE CARTAGENA,OFICIAL,CARTAGENA DE INDIAS,2024,248,231.2,45.7,49.5,46.3,43.4,46.4,36.0
113001000348,INSTITUCION EDUCATIVA AMBIENTALISTA DE CARTAGENA,OFICIAL,CARTAGENA DE INDIAS,2025,226,231.3,44.9,50.4,46.8,42.8,47.2,35.3
113001000429,INSTITUCION EDUCATIVA SALIM BECHARA,OFICIAL,CARTAGENA DE INDIAS,2021,63,199.1,38.9,43.5,39.6,37.6,39.0,21.1
113001000429,INSTITUCION EDUCATIVA SALIM BECHARA,OFICIAL,CARTAGENA DE INDIAS,2022,63,203.4,39.6,44.6,40.0,38.7,40.4,23.5
113001000429,INSTITUCION EDUCATIVA SALIM BECHARA,OFICIAL,CARTAGENA DE INDIAS,2023,84,213.1,42.4,45.7,42.6,40.2,41.5,25.8
113001000429,INSTITUCION EDUCATIVA SALIM BECHARA,OFICIAL,CARTAGENA DE INDIAS,2024,73,216.6,42.0,49.0,42.3,40.2,42.5,26.6
113001000429,INSTITUCION EDUCATIVA SALIM BECHARA,OFICIAL,CARTAGENA DE INDIAS,2025,71,212.7,42.1,47.1,42.3,38.3,43.6,24.5
113001000437,INSTITUCION EDUCATIVA REPUBLICA DE ARGENTINA,OFICIAL,CARTAGENA DE INDIAS,2021,111,228.7,46.3,49.8,44.3,42.2,46.9,39.9
113001000437,INSTITUCION EDUCATIVA REPUBLICA DE ARGENTINA,OFICIAL,CARTAGENA DE INDIAS,2022,159,234.8,46.3,50.6,46.1,44.4,48.4,41.3
113001000437,INSTITUCION EDUCATIVA REPUBLICA DE ARGENTINA,OFICIAL,CARTAGENA DE INDIAS,2023,122,248.5,51.0,52.9,47.9,47.0,49.8,46.4
113001000437,INSTITUCION EDUCATIVA REPUBLICA DE ARGENTINA,OFICIAL,CARTAGENA DE INDIAS,2024,98,245.7,48.7,53.1,47.8,46.6,50.2,43.7
113001000437,INSTITUCION EDUCATIVA REPUBLICA DE ARGENTINA,OFICIAL,CARTAGENA DE INDIAS,2025,135,255.2,50.6,54.5,50.3,48.3,52.6,48.3
113001000721,INSTITUCION EDUCATIVA LUIS CARLOS LOPEZ,OFICIAL,CARTAGENA DE INDIAS,2021,102,242.1,48.8,52.6,46.6,45.2,50.2,48.0
113001000721,INSTITUCION EDUCATIVA LUIS CARLOS LOPEZ,OFICIAL,CARTAGENA DE INDIAS,2022,115,259.4,51.6,54.5,51.2,49.9,52.8,55.9
113001000721,INSTITUCION EDUCATIVA LUIS CARLOS LOPEZ,OFICIAL,CARTAGENA DE INDIAS,2023,95,263.7,53.9,55.7,50.5,50.0,55.5,55.8
113001000721,INSTITUCION EDUCATIVA LUIS CARLOS LOPEZ,OFICIAL,CARTAGENA DE INDIAS,2024,113,255.9,51.6,54.8,49.9,47.3,54.4,49.7
113001000721,INSTITUCION EDUCATIVA LUIS CARLOS LOPEZ,OFICIAL,CARTAGENA DE INDIAS,2025,106,270.8,54.1,57.3,53.5,50.3,58.4,56.6
113001000739,INSTITUCION EDUCATIVA ANA MARIA VELEZ DE TRUJILLO,OFICIAL,CARTAGENA DE INDIAS,2021,68,195.6,39.0,43.0,38.9,35.4,39.3,19.9
113001000739,INSTITUCION EDUCATIVA ANA MARIA VELEZ DE TRUJILLO,OFICIAL,CARTAGENA DE INDIAS,2022,87,208.4,41.7,45.4,41.5,38.0,41.9,26.2
