cole_cod_dane_establecimiento,cole_nombre_establecimiento,anio,c_naturales,ingles,lectura_critica,matematicas,sociales
113001000143,INSTITUCION EDUCATIVA ARROYO DE PIEDRA,2021,70.0,97.1,25.7,50.0,80.0
113001000143,INSTITUCION EDUCATIVA ARROYO DE PIEDRA,2022,64.4,93.2,35.6,49.3,79.5
113001000143,INSTITUCION EDUCATIVA ARROYO DE PIEDRA,2023,70.0,82.0,28.0,52.0,74.0
113001000143,INSTITUCION EDUCATIVA ARROYO DE PIEDRA,2024,67.6,95.8,19.7,45.1,85.9
113001000143,INSTITUCION EDUCATIVA ARROYO DE PIEDRA,2025,59.2,97.4,28.9,51.3,76.3
113001000160,INSTITUCION EDUCATIVA CORAZON DE MARIA,2021,71.4,100.0,25.0,41.1,76.8
113001000160,INSTITUCION EDUCATIVA CORAZON DE MARIA,2022,64.1,100.0,18.8,37.5,68.8
113001000160,INSTITUCION EDUCATIVA CORAZON DE MARIA,2023,54.9,96.3,9.8,32.9,72.0
113001000160,INSTITUCION EDUCATIVA CORAZON DE MARIA,2024,53.1,97.5,12.3,39.5,67.9
113001000160,INSTITUCION EDUCATIVA CORAZON DE MARIA,2025,57.1,96.1,15.6,31.2,81.8
113001000241,INSTITUCION EDUCATIVA NUESTRO ESFUERZO,2021,32.4,96.2,7.6,12.4,52.4
113001000241,INSTITUCION EDUCATIVA NUESTRO ESFUERZO,2022,28.1,88.6,7.0,14.9,38.6
113001000241,INSTITUCION EDUCATIVA NUESTRO ESFUERZO,2023,36.1,96.6,5.9,20.2,45.4
113001000241,INSTITUCION EDUCATIVA NUESTRO ESFUERZO,2024,36.6,93.9,3.7,22.0,43.9
113001000241,INSTITUCION EDUCATIVA NUESTRO ESFUERZO,2025,24.0,93.0,11.6,18.6,45.7
113001000259,INSTITUCIÓN EDUCATIVA VALORES UNIDOS,2021,51.9,96.2,7.6,21.5,58.2
113001000259,INSTITUCIÓN EDUCATIVA VALORES UNIDOS,2022,45.5,96.6,11.4,33.0,64.8
113001000259,INSTITUCIÓN EDUCATIVA VALORES UNIDOS,2023,40.0,95.6,7.8,25.6,52.2
113001000259,INSTITUCIÓN EDUCATIVA VALORES UNIDOS,2024,54.5,90.1,19.8,37.2,58.7
113001000259,INSTITUCIÓN EDUCATIVA VALORES UNIDOS,2025,39.7,96.0,13.5,31.0,57.9
113001000321,INSTITUCION EDUCATIVA LUIS C GALAN SARMIENTO,2021,53.8,98.1,8.7,26.9,60.6
113001000321,INSTITUCION EDUCATIVA LUIS C GALAN SARMIENTO,2022,40.3,93.3,9.2,25.2,52.1
113001000321,INSTITUCION EDUCATIVA LUIS C GALAN SARMIENTO,2023,39.1,97.3,8.2,21.8,56.4
113001000321,INSTITUCION EDUCATIVA LUIS C GALAN SARMIENTO,2024,40.5,97.6,5.6,22.2,55.6
113001000321,INSTITUCION EDUCATIVA LUIS C GALAN SARMIENTO,2025,34.6,90.7,4.7,15.9,52.3
113001000348,INSTITUCION EDUCATIVA AMBIENTALISTA DE CARTAGENA,2021,49.5,92.1,10.9,30.7,56.1
113001000348,INSTITUCION EDUCATIVA AMBIENTALISTA DE CARTAGENA,2022,35.5,85.0,8.6,23.6,39.5
113001000348,INSTITUCION EDUCATIVA AMBIENTALISTA DE CARTAGENA,2023,27.2,84.5,8.2,19.0,41.4
113001000348,INSTITUCION EDUCATIVA AMBIENTALISTA DE CARTAGENA,2024,39.1,85.1,11.7,21.4,44.8
113001000348,INSTITUCION EDUCATIVA AMBIENTALISTA DE CARTAGENA,2025,32.3,84.5,8.8,24.3,51.3
113001000429,INSTITUCION EDUCATIVA SALIM BECHARA,2021,58.7,100.0,17.5,38.1,73.0
113001000429,INSTITUCION EDUCATIVA SALIM BECHARA,2022,57.1,98.4,15.9,34.9,68.3
113001000429,INSTITUCION EDUCATIVA SALIM BECHARA,2023,42.9,100.0,14.3,28.6,57.1
113001000429,INSTITUCION EDUCATIVA SALIM BECHARA,2024,45.2,97.3,1.4,28.8,56.2
113001000429,INSTITUCION EDUCATIVA SALIM BECHARA,2025,50.7,91.5,14.1,25.4,64.8
113001000437,INSTITUCION EDUCATIVA REPUBLICA DE ARGENTINA,2021,38.7,88.3,5.4,16.2,44.1
113001000437,INSTITUCION EDUCATIVA REPUBLICA DE ARGENTINA,2022,30.2,79.2,1.9,11.3,40.9
113001000437,INSTITUCION EDUCATIVA REPUBLICA DE ARGENTINA,2023,18.0,79.5,0.8,9.8,27.9
113001000437,INSTITUCION EDUCATIVA REPUBLICA DE ARGENTINA,2024,26.5,83.7,3.1,4.1,34.7
113001000437,INSTITUCION EDUCATIVA REPUBLICA DE ARGENTINA,2025,17.0,70.4,3.0,5.2,28.9
113001000721,INSTITUCION EDUCATIVA LUIS CARLOS LOPEZ,2021,28.4,76.5,0.0,5.9,36.3
113001000721,INSTITUCION EDUCATIVA LUIS CARLOS LOPEZ,2022,14.8,60.0,5.2,11.3,20.0
113001000721,INSTITUCION EDUCATIVA LUIS CARLOS LOPEZ,2023,17.9,61.1,0.0,3.2,20.0
113001000721,INSTITUCION EDUCATIVA LUIS CARLOS LOPEZ,2024,18.6,62.8,1.8,6.2,25.7
113001000721,INSTITUCION EDUCATIVA LUIS CARLOS LOPEZ,2025,5.7,52.8,0.9,4.7,20.8
113001000739,INSTITUCION EDUCATIVA ANA MARIA VELEZ DE TRUJILLO,2021,67.6,98.5,19.1,38.2,77.9
113001000739,INSTITUCION EDUCATIVA ANA MARIA VELEZ DE TRUJILLO,2022,55.2,95.4,12.6,31.0,67.8
113001000739,INSTITUCION EDUCATIVA ANA MARIA VELEZ DE TRUJILLO,2023,46.7,98.3,13.3,21.7,63.3
113001000739,INSTITUCION EDUCATIVA ANA MARIA VELEZ DE TRUJILLO,2024,60.0,96.0,22.7,34.7,65.3
113001000739,INSTITUCION EDUCATIVA ANA MARIA VELEZ DE TRUJILLO,2025,32.4,85.3,5.9,20.6,61.8
113001000771,INSTITUCION EDUCATIVA CAMILO TORRES DEL POZON,2021,43.8,94.5,10.0,23.7,58.0
113001000771,INSTITUCION EDUCATIVA CAMILO TORRES DEL POZON,2022,37.1,93.7,13.2,23.3,48.4
113001000771,INSTITUCION EDUCATIVA CAMILO TORRES DEL POZON,2023,24.5,88.8,3.5,14.0,39.2
113001000771,INSTITUCION EDUCATIVA CAMILO TORRES DEL POZON,2024,37.4,88.2,9.7,24.4,55.9
113001000771,INSTITUCION EDUCATIVA CAMILO TORRES DEL POZON,2025,32.2,82.9,7.5,17.1,50.8
113001000852,INSTITUCION EDUCATIVA NUESTRA SRA DEL CARMEN,2021,40.8,89.2,8.0,17.8,51.6
113001000852,INSTITUCION EDUCATIVA NUESTRA SRA DEL CARMEN,2022,42.9,92.5,10.4,20.5,58.2
113001000852,INSTITUCION EDUCATIVA NUESTRA SRA DEL CARMEN,2023,29.7,84.9,2.4,12.3,39.2
113001000852,INSTITUCION EDUCATIVA NUESTRA SRA DEL CARMEN,2024,16.0,84.0,3.0,4.7,34.9
113001000852,INSTITUCION EDUCATIVA NUESTRA SRA DEL CARMEN,2025,21.9,76.5,3.8,8.2,36.6
113001000879,INSTITUCION EDUCATIVA SANTA MARIA,2021,42.3,92.6,8.7,21.5,52.3
113001000879,INSTITUCION EDUCATIVA SANTA MARIA,2022,41.4,93.2,6.0,22.6,45.9
113001000879,INSTITUCION EDUCATIVA SANTA MARIA,2023,33.6,85.9,5.4,14.1,47.0
113001000879,INSTITUCION EDUCATIVA SANTA MARIA,2024,38.4,88.2,8.9,14.3,49.8
113001000879,INSTITUCION EDUCATIVA SANTA MARIA,2025,24.6,73.8,3.8,13.1,50.0
113001001336,INSTITUCION EDUCATIVA JOHN F KENNEDY,2021,39.4,92.6,11.8,27.1,53.7
113001001336,INSTITUCION EDUCATIVA JOHN F KENNEDY,2022,33.1,89.4,6.2,17.5,48.8
113001001336,INSTITUCION EDUCATIVA JOHN F KENNEDY,2023,35.3,92.6,5.9,9.6,41.2
113001001336,INSTITUCION EDUCATIVA JOHN F KENNEDY,2024,32.0,85.8,7.1,14.2,40.6
113001001336,INSTITUCION EDUCATIVA JOHN F KENNEDY,2025,30.7,80.2,7.8,14.6,42.2
113001001450,INSTITUCION ETNOEDUCATIVA PEDRO ROMERO,2021,51.6,95.2,14.5,33.9,62.9
113001001450,INSTITUCION ETNOEDUCATIVA PEDRO ROMERO,2022,39.1,89.1,21.9,18.8,51.6
113001001450,INSTITUCION ETNOEDUCATIVA PEDRO ROMERO,2023,52.4,97.6,12.2,22.0,62.2
113001001450,INSTITUCION ETNOEDUCATIVA PEDRO ROMERO,2024,41.7,93.3,11.7,11.7,56.7
113001001450,INSTITUCION ETNOEDUCATIVA PEDRO ROMERO,2025,39.5,92.6,9.9,18.5,53.1
113001001484,INSTITUCION EDUCATIVA MERCEDES ABREGO,2021,28.4,88.8,4.2,9.8,35.8
113001001484,INSTITUCION EDUCATIVA MERCEDES ABREGO,2022,26.1,83.7,4.4,14.8,39.4
113001001484,INSTITUCION EDUCATIVA MERCEDES ABREGO,2023,25.1,76.4,4.1,15.9,34.9
113001001484,INSTITUCION EDUCATIVA MERCEDES ABREGO,2024,14.1,70.6,2.3,11.3,31.6
113001001484,INSTITUCION EDUCATIVA MERCEDES ABREGO,2025,19.5,73.7,2.1,15.8,33.2
113001001492,INSTITUCION EDUCATIVA LICEO DE BOLIVAR,2021,63.6,97.7,18.5,35.3,72.8
113001001492,INSTITUCION EDUCATIVA LICEO DE BOLIVAR,2022,55.9,94.1,16.1,36.4,61.9
113001001492,INSTITUCION EDUCATIVA LICEO DE BOLIVAR,2023,42.3,94.6,10.7,30.2,59.1
113001001492,INSTITUCION EDUCATIVA LICEO DE BOLIVAR,2024,60.5,95.5,17.5,33.9,71.8
113001001492,INSTITUCION EDUCATIVA LICEO DE BOLIVAR,2025,50.3,93.5,10.8,31.9,64.3
113001001581,INSTITUCION EDUCATIVA DE FREDONIA,2021,46.8,98.4,6.5,19.4,53.2
113001001581,INSTITUCION EDUCATIVA DE FREDONIA,2022,35.8,97.0,10.4,28.4,58.2
113001001581,INSTITUCION EDUCATIVA DE FREDONIA,2023,37.5,95.3,12.5,25.0,46.9
113001001581,INSTITUCION EDUCATIVA DE FREDONIA,2024,32.4,95.4,13.9,31.5,50.0
113001001581,INSTITUCION EDUCATIVA DE FREDONIA,2025,55.6,95.7,12.0,35.9,77.8
113001001697,INSTITUCION EDUCATIVA MANUELA BELTRAN,2021,43.0,92.0,11.0,20.0,52.0
113001001697,INSTITUCION EDUCATIVA MANUELA BELTRAN,2022,30.9,82.5,6.2,9.3,44.3
113001001697,INSTITUCION EDUCATIVA MANUELA BELTRAN,2023,31.0,87.4,3.4,18.4,39.1
113001001697,INSTITUCION EDUCATIVA MANUELA BELTRAN,2024,27.8,86.7,3.3,11.1,34.4
113001001697,INSTITUCION EDUCATIVA MANUELA BELTRAN,2025,26.7,76.7,3.3,16.7,37.8
113001001719,INSTITUCION EDUCATIVA PROMOCION SOCIAL DE C/GENA.,2021,14.6,76.8,0.6,3.7,19.5
113001001719,INSTITUCION EDUCATIVA PROMOCION SOCIAL DE C/GENA.,2022,13.8,72.5,3.0,3.6,22.8
113001001719,INSTITUCION EDUCATIVA PROMOCION SOCIAL DE C/GENA.,2023,9.2,67.3,0.7,1.3,16.3
113001001719,INSTITUCION EDUCATIVA PROMOCION SOCIAL DE C/GENA.,2024,7.9,49.2,1.1,1.1,13.6
113001001719,INSTITUCION EDUCATIVA PROMOCION SOCIAL DE C/GENA.,2025,3.6,48.8,0.6,1.2,15.1
113001001727,INSTITUCION EDUCATIVA REPUBLICA DEL LIBANO,2021,40.7,93.8,9.9,14.8,58.0
113001001727,INSTITUCION EDUCATIVA REPUBLICA DEL LIBANO,2022,37.1,96.6,10.1,16.9,51.7
113001001727,INSTITUCION EDUCATIVA REPUBLICA DEL LIBANO,2023,41.8,95.5,7.5,19.4,61.2
113001001727,INSTITUCION EDUCATIVA REPUBLICA DEL LIBANO,2024,23.5,94.1,10.8,19.6,42.2
113001001727,INSTITUCION EDUCATIVA REPUBLICA DEL LIBANO,2025,35.5,90.1,10.7,32.2,58.7
113001001816,INSTITUCION EDUCATIVA JOSE DE LA VEGA,2021,56.6,94.0,12.0,28.3,70.1
113001001816,INSTITUCION EDUCATIVA JOSE DE LA VEGA,2022,51.1,96.8,14.6,27.9,63.9
113001001816,INSTITUCION EDUCATIVA JOSE DE LA VEGA,2023,47.0,92.4,11.9,25.8,64.0
113001001816,INSTITUCION EDUCATIVA JOSE DE LA VEGA,2024,49.8,95.5,18.5,29.2,68.3
113001001816,INSTITUCION EDUCATIVA JOSE DE LA VEGA,2025,52.9,90.6,12.9,30.2,72.2
113001001972,INSTITUCION EDUCATIVA SEMINARIO,2021,30.8,85.6,5.1,11.3,42.1
113001001972,INSTITUCION EDUCATIVA SEMINARIO,2022,29.0,78.5,8.1,17.2,48.9
113001001972,INSTITUCION EDUCATIVA SEMINARIO,2023,26.9,82.9,3.6,13.0,46.6
113001001972,INSTITUCION EDUCATIVA SEMINARIO,2024,21.4,83.4,4.8,7.5,40.1
113001001972,INSTITUCION EDUCATIVA SEMINARIO,2025,21.6,73.2,4.1,17.0,39.2
113001002057,INSTITUCION EDUCATIVA SOLEDAD ROMAN DE NU?EZ,2021,26.0,71.4,5.2,10.4,35.1
113001002057,INSTITUCION EDUCATIVA SOLEDAD ROMAN DE NU?EZ,2022,22.7,77.9,2.6,12.3,33.1
113001002057,INSTITUCION EDUCATIVA SOLEDAD ROMAN DE NU?EZ,2023,21.0,76.5,3.1,12.3,34.6
113001002057,INSTITUCION EDUCATIVA SOLEDAD ROMAN DE NU?EZ,2024,7.5,54.1,3.0,6.0,11.3
113001002057,INSTITUCION EDUCATIVA SOLEDAD ROMAN DE NU?EZ,2025,13.2,54.7,3.1,7.5,27.0
113001002120,INSTITUCION EDUCATIVA HIJOS DE MARIA,2021,52.2,95.0,15.0,30.6,62.2
113001002120,INSTITUCION EDUCATIVA HIJOS DE MARIA,2022,49.3,93.6,17.1,32.1,61.4
113001002120,INSTITUCION EDUCATIVA HIJOS DE MARIA,2023,51.6,96.8,10.8,23.6,61.1
113001002120,INSTITUCION EDUCATIVA HIJOS DE MARIA,2024,52.0,95.9,21.6,35.8,63.5
113001002120,INSTITUCION EDUCATIVA HIJOS DE MARIA,2025,51.6,93.5,13.7,34.0,73.2
113001002138,INSTITUCION EDUCATIVA NUESTRA SRA DEL PERPETUO SOCORRO,2021,47.1,95.6,17.6,33.8,63.2
113001002138,INSTITUCION EDUCATIVA NUESTRA SRA DEL PERPETUO SOCORRO,2022,61.6,95.3,14.0,36.0,67.4
113001002138,INSTITUCION EDUCATIVA NUESTRA SRA DEL PERPETUO SOCORRO,2023,60.2,97.6,14.5,28.9,65.1
113001002138,INSTITUCION EDUCATIVA NUESTRA SRA DEL PERPETUO SOCORRO,2024,35.7,91.4,8.6,21.4,42.9
113001002138,INSTITUCION EDUCATIVA NUESTRA SRA DEL PERPETUO SOCORRO,2025,50.0,88.2,9.2,23.7,53.9
113001002413,INSTITUCION EDUCATIVA MADRE LAURA,2021,45.0,86.7,5.0,22.5,54.2
113001002413,INSTITUCION EDUCATIVA MADRE LAURA,2022,38.0,79.3,9.1,15.7,47.1
113001002413,INSTITUCION EDUCATIVA MADRE LAURA,2023,25.0,81.2,0.0,13.5,39.6
113001002413,INSTITUCION EDUCATIVA MADRE LAURA,2024,25.5,84.4,4.3,10.6,44.0
113001002413,INSTITUCION EDUCATIVA MADRE LAURA,2025,18.8,73.9,2.9,17.4,39.1
113001002626,INSTITUCION EDUCATIVA OLGA GONZALEZ ARRAUT,2021,53.3,94.6,18.5,34.8,59.8
113001002626,INSTITUCION EDUCATIVA OLGA GONZALEZ ARRAUT,2022,43.4,90.9,11.1,22.2,52.5
113001002626,INSTITUCION EDUCATIVA OLGA GONZALEZ ARRAUT,2023,44.7,87.1,8.2,23.5,47.1
113001002626,INSTITUCION EDUCATIVA OLGA GONZALEZ ARRAUT,2024,41.1,86.3,11.6,32.6,51.6
113001002626,INSTITUCION EDUCATIVA OLGA GONZALEZ ARRAUT,2025,25.4,76.1,7.5,10.4,35.8
113001002812,INSTITUCION EDUCATIVA MARIA REINA,2021,53.4,95.5,11.3,28.6,57.9
